항목(단위:억원),2016/03,2016/06,2016/09,2016/12,2017/03,2017/06,2017/09,2017/12,2018/03,2018/06,2018/09,2018/12,2019/03,2019/06,2019/09,2019/12,2020/03,2020/06,2020/09,2020/12,2021/03,2021/06,2021/09,2021/12,2022/03,2022/06,2022/09,2022/12,2023/03,2023/06,2023/09,2023/12,2024/03,2024/06,2024/09,2024/12,2025/03,2025/06,2025/09,2025/12
매출액,768,802,909,868,804,928,"1,078","1,056",901,989,"1,052",967,"1,045","1,124","1,114",997,956,836,989,961,996,"1,191","1,179","1,212","1,209","1,339","1,509","1,441","1,373","1,356","1,490","1,313","1,325","1,407","1,571","1,447","1,416","1,507","1,688","1,783"
  매출원가,546,537,627,576,551,586,700,673,569,655,721,652,705,814,820,757,719,632,817,719,672,814,764,815,781,829,923,940,864,876,"1,007",904,840,924,"1,034",930,943,956,"1,089","1,191"
매출총이익,222,265,281,293,254,342,378,382,332,334,331,315,340,309,294,241,237,204,173,241,323,377,414,399,428,510,586,501,509,480,482,410,485,483,537,517,473,552,599,590
  판매비와관리비,154,154,160,175,167,188,197,210,204,217,215,210,255,239,243,314,248,233,229,256,258,267,280,302,298,341,333,327,325,333,330,346,332,367,375,385,376,398,372,401
영업이익,68,111,121,118,87,153,181,172,126,115,116,100,83,70,53,-74,-9,-42,-97,-10,68,126,139,97,134,173,253,166,180,147,153,67,151,112,164,131,91,156,226,192
  기타수익,50,22,20,39,47,51,40,-30,52,56,47,5,41,81,43,5,87,25,34,-27,67,8,47,-8,34,119,136,-44,92,51,37,-6,64,52,49,76,94,57,109,25
  기타비용,42,13,57,-7,89,35,20,59,48,44,36,3,25,25,16,19,51,37,32,83,41,4,18,-6,20,39,53,71,32,23,17,29,18,15,68,4,25,113,46,3
  금융수익,21,7,40,-25,53,25,18,27,30,9,9,-13,24,8,13,9,18,32,38,28,17,18,13,10,18,19,24,34,21,21,14,44,19,37,48,10,17,75,22,-4
  금융비용,43,55,40,70,36,62,48,13,43,101,63,29,59,85,95,13,100,53,49,10,63,39,68,28,50,113,176,-24,104,105,105,112,106,112,118,179,108,119,140,88
  지분법손익,3,0,-2,-1,7,0,0,-3,-1,2,-2,9,-2,3,2,-1,2,-3,-2,-2,3,-1,-2,-1,0,-1,5,2,0,1,0,0,1,1,-11,3,-3,-12,-3,-3
법인세비용차감전순이익,57,73,82,66,68,131,171,97,115,38,70,73,53,52,-1,-84,-53,-80,-109,-117,51,117,108,73,120,159,187,94,156,91,84,-22,106,74,64,34,66,43,152,118
  법인세비용,15,51,8,20,-26,20,41,76,35,5,21,16,15,6,7,-14,-5,6,-4,10,13,38,56,21,17,58,58,93,28,22,34,-18,31,30,29,18,23,19,44,40
당기순이익,41,22,74,47,42,111,129,74,80,33,49,57,38,46,-8,-70,-48,-86,-105,-127,38,79,53,51,103,101,129,1,128,69,50,-3,75,44,35,16,42,24,108,79
  지배기업 소유주지분,41,22,76,45,41,110,129,73,79,32,51,58,41,47,-6,20,-45,-83,-103,-120,37,78,54,45,99,97,125,0,122,67,47,-2,76,43,33,15,43,24,107,80
  비지배지분,0,0,0,0,1,1,1,0,1,1,-2,0,-2,0,-2,-6,-3,-3,-3,-7,0,1,-1,6,4,4,5,1,6,2,3,-2,0,1,1,1,-1,1,2,-2
기타포괄손익,-4,-9,-61,55,-62,43,24,-84,29,2,-42,-7,31,18,11,-42,45,-12,3,-45,20,10,56,-32,19,45,101,-240,90,-44,15,-40,70,82,-88,142,65,-168,60,159
당기총포괄이익,37,13,13,102,-20,154,154,-11,109,35,7,51,69,64,4,20,-2,-98,-103,-172,58,89,108,19,122,146,230,-239,219,25,65,-44,145,126,-53,158,108,-144,169,237
  지배기업 소유주지분,37,12,13,102,-18,152,151,-8,108,33,7,53,62,55,-6,25,0,-92,-94,-172,58,88,108,15,117,139,216,-227,208,18,57,-27,144,122,-56,157,107,-140,170,224
  비지배지분,0,0,0,0,-3,2,3,-2,0,2,0,-2,7,9,9,-5,-3,-7,-9,3,0,1,0,4,4,7,14,-12,11,7,8,-17,2,4,3,1,0,-4,-1,13
기본주당이익,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
