항목(단위:억원),2016/03,2016/06,2016/09,2016/12,2017/03,2017/06,2017/09,2017/12,2018/03,2018/06,2018/09,2018/12,2019/03,2019/06,2019/09,2019/12,2020/03,2020/06,2020/09,2020/12,2021/03,2021/06,2021/09,2021/12,2022/03,2022/06,2022/09,2022/12,2023/03,2023/06,2023/09,2023/12,2024/03,2024/06,2024/09,2024/12,2025/03,2025/06,2025/09,2025/12
영업활동으로인한현금흐름,76,173,292,582,51,134,88,505,-66,-113,-226,315,-256,-231,-47,344,-2,156,239,745,114,457,577,909,-69,-68,-177,131,-53,-174,-97,402,27,99,179,509,-150,-224,-59,383
  당기순이익,41,63,137,184,42,153,283,356,80,113,162,219,38,85,77,6,-48,-134,-239,-366,38,117,170,221,103,204,333,334,128,188,50,244,75,44,35,170,42,24,108,253
  가감,105,272,396,550,130,251,395,588,153,325,488,642,155,283,456,606,153,322,495,742,143,285,503,673,147,318,553,846,188,407,649,841,215,429,702,953,221,485,748,"1,003"
  자산부채의증감,-57,-97,-154,-75,-107,-217,-502,-342,-276,-495,-794,-461,-420,-546,-498,-187,-92,3,10,403,-61,68,-54,59,-266,-492,-919,-888,-301,-629,-821,-481,-245,-359,-563,-487,-352,-626,-794,-653
  법인세납부,13,65,88,77,14,54,87,96,23,56,82,85,30,52,81,81,15,35,28,34,6,13,42,44,54,98,145,161,68,139,163,201,18,85,111,128,61,150,187,220
투자활동으로인한현금흐름,-233,-363,-630,-693,-206,-315,-444,-723,-171,-272,-395,-802,-175,-208,-336,-422,-76,-174,-407,-568,-180,-320,-373,-350,-196,-161,-239,-264,-282,-327,-518,-565,-58,-175,-256,-452,-179,-317,-428,-500
  유형자산의취득,-212,-373,-590,-690,-205,-376,-540,-735,-152,-296,-460,-604,-159,-293,-430,-589,-67,-175,-302,-516,-81,-238,-312,-391,-70,-233,-303,-456,-185,-334,-473,-573,-55,-130,-220,-375,-188,-278,-421,-558
  무형자산의취득,-2,-4,-9,-32,-7,-12,-22,-32,-5,-9,-14,-19,-4,-9,-2,-5,-3,-4,-7,-9,-1,-7,-9,-13,-3,-6,-9,-17,-1,-6,-14,-9,-1,-1,-4,-10,-1,-6,-9,-13
재무활동으로인한현금흐름,150,190,348,8,255,267,443,280,267,391,607,423,430,524,462,107,211,145,420,377,200,-139,40,-910,479,333,537,215,597,688,812,44,188,276,403,-4,524,830,751,288
  단기차입금의증가,248,390,357,193,372,505,683,361,396,791,"1,068",846,448,854,941,827,657,861,"1,028","1,126",691,811,"1,152","1,042",870,"1,001","1,487","1,380",784,"1,598","1,782","1,743",839,"1,736","2,044","1,897","1,085","2,003","2,029","2,173"
  단기차입금의상환,-49,-391,-227,-503,-54,-352,-405,-518,-149,-458,-457,-485,-56,-259,-299,-472,-308,-555,-716,-975,-371,-708,-847,"-1,216",-371,-625,-750,-852,-364,-848,"-1,049","-1,518",-487,"-1,331","-1,508","-1,534",-668,"-1,497","-1,419","-1,883"
  장기차입금의증가,62,335,407,477,258,686,777,"1,027",250,664,733,774,238,540,308,299,8,126,304,838,163,195,211,246,56,611,416,605,266,266,272,689,0,179,179,311,375,504,504,505
  이자의지급,-26,-57,-87,-110,-27,-61,-92,-125,-37,-77,-110,-141,-33,-72,-113,-152,-39,-76,-106,-126,-36,-67,-104,-125,-33,-70,-113,-148,-53,-123,-199,-278,-70,-150,-237,-305,-78,-150,-226,-303
  배당금지급,0,-41,-41,-41,0,-48,-48,-48,0,-61,-61,-61,0,-63,-63,-63,0,-38,-38,-38,0,-31,-31,-31,0,-62,-62,-62,0,-103,-103,-107,0,-96,-96,-96,0,-65,-65,-60
현금및현금성자산의순증가,-5,3,2,-103,95,79,85,57,32,10,-14,-64,1,91,85,23,137,129,252,550,135,1,260,-348,216,115,151,77,276,183,197,-122,162,215,330,73,204,278,264,178
기초현금및현금성자산,243,243,243,243,140,140,140,140,196,196,196,196,132,132,132,132,156,156,156,156,706,706,706,706,358,358,358,358,435,435,435,435,313,313,313,313,386,386,386,386
기말현금및현금성자산,237,246,245,140,235,219,224,196,229,207,182,132,133,223,217,156,292,284,408,706,841,707,966,358,574,474,509,435,711,618,632,313,475,528,643,386,590,664,650,564
