항목(단위:억원),2016/12,2017/12,2018/12,2019/12,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12
매출액,"3,347","3,866","3,909","4,280","3,742","4,578","5,498","5,532","5,750","6,394"
  매출원가,"2,286","2,510","2,597","3,096","2,887","3,065","3,473","3,651","3,728","4,179"
매출총이익,"1,061","1,356","1,312","1,184",855,"1,513","2,025","1,881","2,022","2,214"
  판매비와관리비,643,762,846,"1,051",966,"1,107","1,299","1,334","1,459","1,547"
영업이익,418,593,457,132,-158,430,726,547,558,665
  기타수익,131,108,160,170,119,114,245,174,241,285
  기타비용,105,203,131,85,203,57,183,101,105,187
  금융수익,43,123,35,54,116,58,95,100,114,110
  금융비용,208,159,236,252,212,198,315,426,515,455
  지분법손익,0,4,8,2,-5,-1,6,1,-6,-21
법인세비용차감전순이익,278,467,296,20,-359,349,560,309,278,379
  법인세비용,94,111,77,14,7,128,226,66,108,126
당기순이익,184,356,219,6,-366,221,334,244,170,253
  지배기업소유주지분,184,353,220,14,-351,214,320,234,167,253
  비지배지분,0,2,-1,-8,-15,6,14,9,3,0
기타포괄손익,-19,-79,-18,18,-9,54,-75,21,206,116
당기총포괄손익,165,277,201,24,-375,274,259,264,376,370
  지배기업소유주지분,165,277,201,20,-358,269,245,256,366,361
  비지배지분,0,0,0,4,-15,6,14,9,10,8
