연도,회사,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),재고자산(억원),원재료(억원),시가총액(억원),PER,PBR
2015,YG-1,3219.1832125,393.78654399,141.33034809,12.232498680439736,1648.29636453,358.68451,3359.023754,23.767179515194808,1.3203104924911395
2015,KMT,29913.104698393185,-4043.3730278627545,-4224.996720797077,-13.517062400012088,6503.457078217105,1139.9477239412295,17285.572611308475,-4.09126296506271,1.136646530732183
2015,OSG,10449.2432685286,2016.4256267627993,1168.7556603147068,19.297336418953332,2863.7221291877845,567.9454131406263,20401.53127027207,17.455771093145867,2.130446176549734
2016,YG-1,3347.15216436,417.5847087,183.67767717,12.475820882790527,1624.26100933,353.94039,2677.6879317,14.57818921142882,0.9891537358949349
2016,KMT,24314.30529290056,-2027.04181154722,-2618.2618571289063,-8.336827999519643,5316.403596555513,793.3761677818561,29046.704444102514,-11.093888246897546,2.59961002628263
2016,OSG,11244.916553438901,1943.6605132013358,1079.5273287724617,17.284792679114446,3375.8930902040743,621.4685648370379,22076.07697635883,20.449762028221826,2.2473094516569794
2017,YG-1,3865.9878144,593.28728938,355.60214048,15.3463310766301,1899.01458459,424.15169,4764.4221465,13.39818185590467,1.4846602963364286
2017,KMT,23258.081620375488,1070.6296200163517,555.2241458582773,4.603258503824389,5510.445412436618,990.1222318597272,44620.516592507694,80.36487052185447,3.8818365268082626
2017,OSG,12109.391649335605,1927.964092525129,1409.7299235357755,15.921229970548595,3510.875302315317,626.3339480184317,23889.785499892852,16.946356249553347,2.0475810638114154
2018,YG-1,3909.4226057,457.03192934,218.81705453,11.690522500014202,2936.24244471,602.18027,2931.0615256,13.395032356575976,0.8753372090729438
2018,KMT,26033.276424129217,3191.6821325683172,2200.8719606251684,12.260009384028486,5777.217432619966,1064.9128645928324,30088.93226004822,13.671368802163899,2.2914488157052473
2018,OSG,13077.251932331865,2241.791863437927,1464.332074208344,17.14268314962548,3862.5118158638998,708.872107439675,20782.811258766025,14.192690049490142,1.665771475983787
2019,YG-1,4279.59617992,131.66690624,6.05414119,3.0766198656262307,2921.25534333,439.51818,2390.142164,394.79458588576455,0.7221984729347865
2019,KMT,27648.303907603586,3827.8943211554897,2816.0660898450415,13.844951697390655,6653.284246643667,1113.0401550521146,35597.14616651465,12.640735348818975,2.290423929848013
2019,OSG,13557.751616292671,2088.058623743635,1461.448825025846,15.4012160927507,4685.477973438848,817.7535512237271,21691.17742829582,14.842242202981147,1.5737068035606374
2020,YG-1,3742.09670059,-158.29096049,-366.26215617,-4.230007216677296,2548.38284899,350.25697,2167.8823552,-5.918936255575858,0.7276141182707769
2020,KMT,22215.561990406928,262.20727437233495,-66.70660525893351,1.180286478845598,6156.273767481723,890.7058090297694,35671.550635259555,-534.7529003581296,2.461397747697852
2020,OSG,11521.03481086829,926.6449043189847,622.361912274268,8.043070084684063,4638.080688315985,807.9999219294052,21198.785892865035,34.06183038322398,1.4850597777219379
2021,YG-1,4578.13194133,429.92374863,220.61757913,9.390811670340419,2542.37533607,420.25303,2530.335872,11.469330240945974,0.7844919925964711
2021,KMT,21063.332755272306,1168.649215989359,622.6436009627747,5.548263560982948,5448.67483742905,829.8750026353064,34130.06798913865,54.8147735500122,2.244110582533622
2021,OSG,13139.326382517562,1677.3585988018428,1144.5199405298636,12.765940581502267,4461.534324549801,803.8406498325131,18167.707206955973,15.873648473564476,1.2129497957458053
2022,YG-1,5498.00690069,726.4420636,334.28996271,13.212825606108852,3308.63791551,720.31131,2181.5598464,6.52595079048941,0.6420158168344199
2022,KMT,25981.565561578125,2816.2696285546876,1867.1374460917968,10.839491646028534,7369.7079384140625,1381.72018303125,25013.598511693544,13.396763352398516,1.5467952120419988
2022,OSG,13993.88424504635,2150.0654425400803,1623.398576443405,15.364322048763373,5108.099125406324,996.1897881090354,17067.635602531158,10.513521355872749,1.0557003388700283
2023,YG-1,5531.81695854,546.85648371,243.53077644,9.885657602350072,3474.85523898,617.05094,1966.13936,8.07347386946967,0.5527090946657223
2023,KMT,27126.114459985503,2511.580093989286,1546.2213128459377,9.258901040523842,7278.631346561091,1064.4817236783354,26684.717808623423,17.258019655354623,1.6028637413813767
2023,OSG,13723.210805102022,1839.6347666670279,1329.2754851871298,13.405279513618545,5248.812468349516,968.1310236702238,18024.721319314125,13.559808723002726,1.0685124195174076
2024,YG-1,5749.90223686,558.15895657,166.82508846,9.707277334071831,4060.02949386,722.36121,1904.3188736,11.41506287321168,0.4718517944567851
2024,KMT,27876.236340943935,2318.2270247161678,1488.844239750478,8.316140659602647,7008.652239613512,1049.3258387784304,25306.322146380626,16.997293249844475,1.4867047424364415
2024,OSG,13988.422885498947,1697.1364095474717,1208.809423781454,12.132435682272677,5037.170663083949,890.8437036335678,14165.586961902776,11.718627174157302,0.9451106959215761
2025,YG-1,6393.82631795,665.28357756,252.85983655,10.405093045650705,4434.00664428,907.7534,1971.267584,7.795890446248095,0.4537240974740729
2025,KMT,27926.024507700713,2032.1155991527799,1322.224696038391,7.276780834280282,7642.096684258958,1281.5037249969077,30736.774896623378,23.246256849320662,1.6860148562343986
2025,OSG,15237.40840201775,1928.6417722250844,1359.8205195806377,12.657282139721952,5643.5302699408785,1021.2409580916398,17815.581985187782,13.101421642528255,1.0386302704149635
