year,company,mcap_usd_b,shares,close
2017,YG-1,0.433097422210088,30573819.0,15150.0
2018,YG-1,0.25526111315603195,30573819.0,9320.0
2019,YG-1,0.20094351131218702,30573819.0,7600.0
2020,YG-1,0.1784190318839122,30573819.0,6340.0
2021,YG-1,0.19014048173758838,30573819.0,7400.0
2022,YG-1,0.15477835026779607,30573819.0,6380.0
2023,YG-1,0.13757548985184942,30573819.0,5750.0
2024,YG-1,0.11714537482469098,33573819.0,5120.0
2025,YG-1,0.12374991235214072,33573819.0,5300.0
2026,YG-1,0.31339438216103715,33573819.0,13810.0
2017,OSG,2.068060645492802,95668994.0,2440.0
2018,OSG,1.8478258209963734,95668994.0,2131.0
2019,OSG,1.8365269207455592,95668994.0,2090.0
2020,OSG,1.8285662780244003,95668994.0,1971.0
2021,OSG,1.4849675223760634,95668994.0,1786.0
2022,OSG,1.3078226971851472,95668994.0,1817.0
2023,OSG,1.371704683919007,95944700.0,2022.0
2024,OSG,1.0031315359826949,84921343.0,1854.5
2025,OSG,1.2006405130384168,82150384.0,2286.0
2026,OSG,1.5633166731804589,82150384.0,3034.0
2017,KMT,3.9375241575889586,81337000.0,48.40999984741211
2018,KMT,2.70689526071167,81337000.0,33.279998779296875
2019,KMT,3.000521880355835,81337000.0,36.88999938964844
2020,KMT,2.947653016521454,81337000.0,36.2400016784668
2021,KMT,2.920811657588959,81337000.0,35.90999984741211
2022,KMT,1.9569681765613556,81337000.0,24.059999465942383
2023,KMT,2.0589447230911255,79835000.0,25.790000915527344
2024,KMT,1.8708938156547545,77889000.0,24.020000457763672
2025,KMT,2.159500908401489,76012000.0,28.40999984741211
2026,KMT,2.9553466411895752,76012000.0,38.880001068115234
