항목(단위:억원),2016/03,2016/06,2016/09,2016/12,2017/03,2017/06,2017/09,2017/12,2018/03,2018/06,2018/09,2018/12,2019/03,2019/06,2019/09,2019/12,2020/03,2020/06,2020/09,2020/12,2021/03,2021/06,2021/09,2021/12,2022/03,2022/06,2022/09,2022/12,2023/03,2023/06,2023/09,2023/12,2024/03,2024/06,2024/09,2024/12,2025/03,2025/06,2025/09,2025/12
자산,"6,480","6,527","6,677","6,661","6,875","7,178","7,624","7,415","7,822","8,131","8,372","8,318","8,724","8,942","8,891","8,470","8,758","8,555","8,711","8,545","8,885","8,774","9,291","8,434","9,061","9,308","10,082","9,409","10,312","10,359","10,589","9,625","10,164","10,455","10,598","10,762","11,504","11,478","11,723","11,764"
  유동자산,"3,045","2,973","3,060","2,851","3,056","3,204","3,505","3,334","3,670","4,006","4,230","4,050","4,358","4,585","4,487","4,006","4,263","4,058","4,174","3,986","4,308","4,331","4,744","3,905","4,518","4,649","5,305","4,772","5,541","5,512","5,662","4,786","5,282","5,519","5,724","5,656","6,281","6,351","6,445","6,404"
    현금및현금성자산,237,246,245,140,235,219,224,196,229,207,182,132,133,223,217,156,292,284,408,706,841,707,966,358,574,474,509,435,711,618,632,313,475,528,643,386,590,664,650,564
    매출채권및기타채권,959,972,"1,099","1,028","1,027","1,081","1,309","1,160","1,198","1,256","1,388",912,959,"1,111","1,105",864,936,771,858,667,746,851,879,745,842,841,"1,069",820,904,899,"1,136",787,965,938,"1,095",921,"1,028",984,"1,239","1,150"
    재고자산,"1,700","1,666","1,552","1,624","1,734","1,844","1,905","1,899","2,117","2,377","2,508","2,936","3,166","3,149","3,046","2,921","2,944","2,912","2,729","2,548","2,545","2,429","2,507","2,542","2,710","3,020","3,383","3,309","3,600","3,757","3,639","3,475","3,589","3,763","3,706","4,060","4,361","4,363","4,356","4,434"
  비유동자산,"3,435","3,554","3,616","3,811","3,819","3,973","4,118","4,081","4,153","4,125","4,142","4,268","4,366","4,357","4,405","4,464","4,495","4,497","4,537","4,559","4,577","4,443","4,547","4,529","4,543","4,658","4,777","4,637","4,772","4,848","4,927","4,839","4,883","4,935","4,874","5,106","5,223","5,126","5,277","5,360"
    유형자산,"3,236","3,319","3,387","3,571","3,606","3,769","3,910","3,928","4,005","3,985","3,994","4,058","3,993","3,970","4,004","4,007","4,035","4,051","4,030","4,027","4,039","3,947","4,050","4,042","4,026","4,122","4,161","4,048","4,150","4,228","4,250","4,187","4,222","4,226","4,175","4,374","4,460","4,369","4,429","4,472"
부채,"3,940","3,975","4,112","3,954","4,209","4,358","4,650","4,206","4,566","4,839","5,074","4,970","5,370","5,523","5,469","5,161","5,488","5,384","5,642","5,566","5,878","5,676","6,084","5,209","5,800","5,901","6,445","6,011","6,797","6,829","6,992","6,068","6,363","6,531","6,723","6,726","7,420","7,538","7,615","7,420"
  유동부채,"3,064","3,015","3,142","2,568","2,652","2,773","3,084","2,785","3,139","3,514","3,610","3,286","3,484","3,455","3,572","3,424","4,112","3,999","3,861","3,825","3,935","3,995","4,600","3,820","4,417","4,317","4,750","4,567","5,575","5,802","5,095","4,337","5,022","5,025","5,448","5,357","5,589","5,746","5,933","5,800"
    매입채무및기타채무,442,414,474,545,474,534,600,642,636,675,735,794,583,624,520,546,508,476,405,407,386,485,522,589,584,635,700,732,697,681,580,544,570,569,621,712,691,630,576,700
    단기차입금,"2,355","2,383","2,467","1,947","2,038","2,059","2,174","1,757","2,053","2,560","2,685","2,221","2,524","2,528","2,719","2,757","2,513","2,415","2,363","2,226","2,611","2,394","2,695","2,218","2,777","2,719","3,151","2,740","3,222","3,525","3,532","2,913","3,356","3,446","3,515","3,464","3,902","3,866","4,047","3,781"
  비유동부채,876,959,970,"1,386","1,557","1,584","1,566","1,421","1,427","1,326","1,464","1,683","1,885","2,068","1,897","1,736","1,376","1,384","1,781","1,740","1,943","1,681","1,484","1,389","1,384","1,583","1,695","1,443","1,223","1,027","1,896","1,731","1,341","1,506","1,276","1,369","1,831","1,791","1,683","1,619"
    장기차입금,448,533,544,754,901,"1,046","1,129","1,068","1,050",906,"1,064","1,273","1,233","1,438","1,264",759,560,633,781,"1,236","1,170",908,666,479,472,538,864,592,632,451,781,769,377,550,502,607,804,370,322,310
    사채,300,300,300,489,489,389,290,189,190,240,240,250,399,399,399,679,529,479,709,230,499,499,499,599,599,749,519,519,250,250,778,679,679,679,499,499,749,"1,148","1,068","1,068"
자본,"2,540","2,552","2,565","2,707","2,666","2,820","2,974","3,209","3,256","3,291","3,298","3,348","3,355","3,419","3,422","3,310","3,269","3,171","3,069","2,979","3,007","3,098","3,207","3,225","3,261","3,407","3,637","3,398","3,515","3,531","3,597","3,557","3,802","3,924","3,874","4,036","4,084","3,940","4,107","4,345"
  자본금,143,143,143,150,150,151,152,160,160,160,160,160,160,160,160,160,160,160,160,178,178,178,178,178,178,178,178,178,178,178,178,178,193,193,193,193,193,193,193,193
  이익잉여금,"1,963","1,984","2,058","2,023","2,017","2,127","2,256","2,304","2,322","2,355","2,405","2,448","2,426","2,473","2,466","2,390","2,307","2,224","2,121","1,870","1,877","1,955","2,009","2,036","2,073","2,170","2,295","2,256","2,276","2,334","2,381","2,398","2,378","2,417","2,450","2,418","2,401","2,406","2,512","2,618"
