항목(단위:억원),2016/12,2017/12,2018/12,2019/12,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12
자산,"6,661","7,415","8,318","8,470","8,545","8,434","9,409","9,625","10,762","11,764"
  유동자산,"2,851","3,334","4,050","4,006","3,986","3,905","4,772","4,786","5,656","6,404"
    현금및현금성자산,140,196,132,156,706,358,435,313,386,564
    단기금융상품,0,4,4,4,7,12,11,7,9,14
    매출채권및기타채권,"1,028","1,160",912,864,667,745,820,787,921,"1,150"
    재고자산,"1,624","1,899","2,936","2,921","2,548","2,542","3,309","3,475","4,060","4,434"
    당기법인세자산,11,8,4,3,5,8,9,16,12,11
    기타유동자산,48,61,58,59,53,94,188,188,266,226
  비유동자산,"3,811","4,081","4,268","4,464","4,559","4,529","4,637","4,839","5,106","5,360"
    장기금융상품,13,16,19,22,25,0,0,0,0,0
    장기매출채권및기타채권,41,30,12,12,25,24,32,31,35,22
    당기손익공정가치측정금융자산,0,6,10,0,0,46,43,37,15,17
    지분법적용투자지분,39,7,14,15,11,10,13,15,35,16
    유형자산,"3,571","3,928","4,058","4,007","4,027","4,042","4,048","4,187","4,374","4,472"
    투자부동산,0,0,0,0,46,52,71,79,80,82
    무형자산,43,22,71,64,69,77,74,72,76,77
    사용권자산,0,0,0,232,217,148,164,219,218,240
    이연법인세자산,40,24,22,104,133,129,191,197,256,314
    기타비유동자산,53,50,64,7,5,0,0,1,17,90
부채,"3,954","4,206","4,970","5,161","5,566","5,209","6,011","6,068","6,726","7,420"
  유동부채,"2,568","2,785","3,286","3,424","3,825","3,820","4,567","4,337","5,357","5,800"
    매입채무및기타채무,545,642,794,546,407,589,732,544,712,700
    단기차입금,"1,947","1,757","2,221","2,757","2,226","2,218","2,740","2,913","3,464","3,781"
    유동성장기부채,0,0,0,0,418,861,574,329,480,756
    유동성사채,0,300,190,0,679,0,230,370,450,230
    단기사채,0,0,0,0,0,0,0,0,0,100
    유동리스부채,0,0,0,53,47,28,33,40,42,45
    당기법인세부채,53,56,55,31,8,74,182,76,138,105
    기타유동부채,22,29,25,23,34,46,76,65,70,83
  비유동부채,"1,386","1,421","1,683","1,736","1,740","1,389","1,443","1,731","1,369","1,619"
    장기매입채무및기타채무,4,8,9,10,9,9,8,9,11,13
    장기차입금,754,"1,068","1,273",759,"1,236",479,592,769,607,310
    사채,489,189,250,679,230,599,519,679,499,"1,068"
    비유동리스부채,0,0,0,87,60,80,93,96,80,86
    퇴직급여부채,67,92,105,131,104,110,117,78,113,87
    이연법인세부채,73,64,47,71,101,113,115,101,58,53
자본,"2,707","3,209","3,348","3,310","2,979","3,225","3,398","3,557","4,036","4,345"
  지배기업소유주지분,"2,705","3,168","3,308","3,264","2,931","3,169","3,346","3,503","3,968","4,272"
    자본금,150,160,160,160,178,178,178,178,193,193
    기타불입자본,625,848,848,848,"1,032","1,032","1,025","1,029","1,209","1,211"
    이익잉여금,"2,023","2,304","2,448","2,390","1,870","2,036","2,256","2,398","2,418","2,618"
    기타자본구성요소,-93,-145,-149,-134,-149,-77,-113,-102,149,250
  비지배지분,2,41,41,45,48,56,52,54,67,73
