rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 31 기 반기말,297284804544,제 30 기말,292344200500,제 29 기말,311340423694,1,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 31 기 반기말,24598297489,제 30 기말,24288825243,제 29 기말,10599962117,2,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 31 기 반기말,873350000,제 30 기말,2431240586,제 29 기말,23718123554,13,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 31 기 반기말,97208917543,제 30 기말,88522710003,제 29 기말,83041565132,14,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 31 기 반기말,88790000,제 30 기말,318420000,제 29 기말,1128091243,28,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_Inventories,재고자산,-,제 31 기 반기말,166572745339,제 30 기말,164829636453,제 29 기말,178424799313,30,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 31 기 반기말,2309647548,제 30 기말,2720352550,제 29 기말,1602256045,49,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동자산,-,제 31 기 반기말,5633056625,제 30 기말,9233015665,제 29 기말,12825626290,51,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 31 기 반기말,355411907415,제 30 기말,328802736592,제 29 기말,296911515742,63,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 31 기 반기말,1112434260,제 30 기말,955979980,제 29 기말,633000000,64,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 31 기 반기말,4051374737,제 30 기말,2121159591,제 29 기말,2353116758,65,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,매도가능금융자산,-,제 31 기 반기말,919500000,제 30 기말,919500000,제 29 기말,9500000,79,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 31 기 반기말,145092078,제 30 기말,151184721,제 29 기말,474139115,80,KRW,,,,
20160812000785,11012,2016,00139719,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,-,제 31 기 반기말,4081096081,제 30 기말,3780527187,제 29 기말,3056287849,81,KRW,,,,
