rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 35 기,398631122191,제 34 기,400595688396,제 33 기,404996077959,1,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 35 기,70598457797,제 34 기,15550237957,제 33 기,13220590149,2,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 35 기,714090133,제 34 기,364653000,제 33 기,433295500,3,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 35 기,66707078507,제 34 기,86430171023,제 33 기,91238845527,4,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기,0,제 34 기,0,제 33 기,223767976,5,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 35 기,0,제 34 기,0,제 33 기,31480000,6,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 35 기,254838284899,제 34 기,292125534333,제 33 기,293624244471,7,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 35 기,497305174,제 34 기,253171393,제 33 기,434245669,8,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 35 기,5275905681,제 34 기,5871920690,제 33 기,5789608667,9,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 35 기,455882160461,제 34 기,446441202544,제 33 기,426832067362,10,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 35 기,2540522780,제 34 기,2225114220,제 33 기,1907205660,11,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 35 기,2463308739,제 34 기,1241809135,제 33 기,1159151814,12,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기,19500000,제 34 기,19500000,제 33 기,769500000,13,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,제 35 기,0,제 34 기,0,제 33 기,103593770,14,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용투자지분,-,제 35 기,1139396842,제 34 기,1495791079,제 33 기,1437112094,15,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 35 기,402730212653,제 34 기,400695558815,제 33 기,405837492071,16,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 35 기,4605561199,제 34 기,0,제 33 기,0,17,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권이외의무형자산,-,제 35 기,6920341171,제 34 기,6413671631,제 33 기,7077740018,18,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 35 기,21663929766,제 34 기,23166153280,제 33 기,0,19,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 35 기,13311988276,제 34 기,10438072506,제 33 기,2159379461,20,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 35 기,487399035,제 34 기,745531878,제 33 기,6380892474,21,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 35 기,854513282652,제 34 기,847036890940,제 33 기,831828145321,22,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 35 기,382539610364,제 34 기,342441021520,제 33 기,328634666371,24,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융부채,-,제 35 기,70557352,제 34 기,96705460,제 33 기,96202999,25,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 35 기,40745941653,제 34 기,54605072159,제 33 기,79391571389,26,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 35 기,222584447316,제 34 기,216079737353,제 33 기,222095756845,27,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 35 기,41770293869,제 34 기,59625431895,제 33 기,0,28,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 35 기,67947903586,제 34 기,0,제 33 기,18975455226,29,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 35 기,524461518,제 34 기,1326176704,제 33 기,38290330,30,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 35 기,823202907,제 34 기,3113080475,제 33 기,5527893755,31,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,-,제 35 기,4696269058,제 34 기,5276145708,제 33 기,0,32,KRW,
20210316001195,11011,2020,00139719,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 35 기,3376533105,제 34 기,2318671766,제 33 기,2509495827,33,KRW,
